Operation,DataType,RecordCount,TimeMicroseconds,Notes
Сортировка по id (возрастание),Сортировка,0,73,Стандартная операция
Сортировка по id (убывание),Сортировка,0,1,Стандартная операция
Сортировка по name (возрастание),Сортировка,0,15,Стандартная операция
Сортировка по name (убывание),Сортировка,0,1,Стандартная операция
Сортировка по expression (возрастание),Сортировка,0,34,Стандартная операция
Сортировка по expression (убывание),Сортировка,0,0,Стандартная операция
Сортировка по login (возрастание),Сортировка,0,15,Стандартная операция
Сортировка по login (убывание),Сортировка,0,11,Стандартная операция
Сортировка по userid (возрастание),Сортировка,0,26,Стандартная операция
Сортировка по userid (убывание),Сортировка,0,0,Стандартная операция
Поиск без сортировки,BFS,0,3110,Стандартная операция
Поиск + сортировка по ID,BFS,0,3346,Числовая сортировка
Поиск + сортировка по имени,BFS,0,4642,Быстрая операция
Поиск + сортировка по выражению,BFS,0,3341,Быстрая операция
Сортировка по ID,Размер данных: 100 записей,100,3,Числовая сортировка
Сортировка по ID,Размер данных: 500 записей,500,3,Числовая сортировка
Сортировка по ID,Размер данных: 1000 записей,1000,3,Числовая сортировка
Сортировка по ID,Размер данных: 2000 записей,2000,1,Числовая сортировка
Сортировка по ID (возрастание),Сортировка,0,1,Числовая сортировка
Сортировка по ID (убывание),Сортировка,0,1,Числовая сортировка
Сортировка по имени (возрастание),Сортировка,0,0,Стандартная операция
Сортировка по имени (убывание),Сортировка,0,0,Стандартная операция
Сортировка по выражению (возрастание),Сортировка,0,0,Стандартная операция
Сортировка по выражению (убывание),Сортировка,0,0,Стандартная операция
Сортировка по логину (возрастание),Сортировка,0,0,Строковая сортировка
Сортировка по логину (убывание),Сортировка,0,0,Строковая сортировка
DFS с сортировкой,DEPTH_FIRST,0,3444,Стандартная операция
BFS с сортировкой,BREADTH_FIRST,0,3349,Стандартная операция
Hierarchical с сортировкой,HIERARCHICAL,0,4674,Стандартная операция
